id,symbol,direction,entry_time,entry_price,exit_time,exit_price,pnl,pnl_percent,exit_reason,patterns
122,BTC-USDT,long,2024-12-03 05:00:00,95968.70,2024-12-03 07:00:00,95571.56,-4.30,-0.41,sl_hit,engulfing
120,BTC-USDT,long,2024-12-02 23:00:00,95583.50,2024-12-03 10:45:00,94943.53,-6.95,-0.67,sl_hit,engulfing|morning_star
121,BTC-USDT,long,2024-12-03 02:00:00,95608.60,2024-12-03 10:45:00,95080.09,-5.74,-0.55,sl_hit,engulfing
123,BTC-USDT,short,2024-12-03 08:00:00,95612.00,2024-12-03 10:45:00,94890.91,7.83,0.75,tp_hit,three_black_crows
125,BTC-USDT,short,2024-12-03 23:00:00,95975.60,2024-12-04 01:30:00,96509.06,-5.76,-0.56,sl_hit,engulfing
126,BTC-USDT,long,2024-12-04 08:00:00,96758.20,2024-12-04 11:45:00,96322.13,-4.67,-0.45,sl_hit,three_white_soldiers
124,BTC-USDT,long,2024-12-03 17:00:00,95248.40,2024-12-04 20:00:00,97349.41,22.88,2.21,tp_hit,engulfing
127,BTC-USDT,long,2024-12-04 20:00:00,98096.10,2024-12-05 02:30:00,99506.87,14.93,1.44,tp_hit,three_white_soldiers
128,BTC-USDT,long,2024-12-05 02:00:00,98381.30,2024-12-05 02:30:00,99548.26,12.32,1.19,tp_hit,morning_star
130,BTC-USDT,long,2024-12-05 08:00:00,102733.10,2024-12-05 15:30:00,101593.79,-11.55,-1.11,sl_hit,morning_star
129,BTC-USDT,short,2024-12-05 05:00:00,103280.30,2024-12-05 19:00:00,100154.56,31.51,3.03,tp_hit,engulfing
132,BTC-USDT,long,2024-12-06 08:00:00,98312.10,2024-12-06 10:15:00,97741.80,-6.05,-0.58,sl_hit,three_white_soldiers
131,BTC-USDT,long,2024-12-06 05:00:00,98138.20,2024-12-06 14:30:00,99385.49,13.26,1.27,tp_hit,doji|harami
133,BTC-USDT,long,2024-12-06 17:00:00,99257.90,2024-12-06 17:45:00,100895.02,17.22,1.65,tp_hit,engulfing
134,BTC-USDT,long,2024-12-06 20:00:00,101706.20,2024-12-06 21:45:00,100519.29,-12.20,-1.17,sl_hit,doji
135,BTC-USDT,short,2024-12-07 05:00:00,99706.40,2024-12-07 20:15:00,100329.66,-6.53,-0.63,sl_hit,engulfing
137,BTC-USDT,long,2024-12-07 17:00:00,99600.00,2024-12-07 21:00:00,100386.62,8.25,0.79,tp_hit,hammer
138,BTC-USDT,long,2024-12-07 23:00:00,99928.00,2024-12-08 05:45:00,99459.77,-4.89,-0.47,sl_hit,harami
